Lucius Basillus,774
Gaius Mummius,775
Servius,776
Hiarbas,777
Domitius,778
Antigonus,779
Julius Salinator,780
Calpurnius Lanarius,781
Gaius Annius,782
Paccianus,783
Spanus,784
Thoranius,785
Aquinus,786
Memmius,787
Pyrrhus,788
Aufidius,789
Manlius,790
Antonius,791
Caecilia,792
Sisenna,793
Callisthenes,794
Fabius,795
Sornatius,796
Triarius,797
Demonax,798
Strabo,799
Artaxas,800
Antiochus of Ascalon,801
Praecia,802
Lucius Octavius,803
Damagoras,804
Appius Clodius,805
Gouras,806
Lucius Quinctius,807
Epigonus,808
Ptolemaeus,809
Aristagoras the town clerk,810
Callistratus,811
Nyssa,812
Bacchides,813
Roxana,814
Statira,815
Berenice,816
Monime,817
Hermaeus,818
Adrian,819
Myron,820
Menemachus,821
Pomponius,822
Artemidorus,823
Olthacus,824
Menedemus,825
Mithrobarzanes,826
Sextilius,827
Callimachus,828
Zarbienus,829
Metrodorus of Scepsis,830
Amphicrates,831
Cleopatra,832
Tubero,833
Gaius Memmius,834
Flaccus,835
Xerxes,836
Carneades,837
Servilia,838
Servilius the Augur,839
Axius,840
Munatius,841
Vatinius the orator,842
Helvia,843
Cleitomachus,844
Chrysogonus,845
Atticus,846
Tiro,847
Herennius,848
Pericles,849
Theramenes,850
Pomponia,851
Philologus,852
Pompeia,853
Terentia,854
Gaius Vergilius,855
Cratippus,856
Verres,857
Attia,858
Tullia,859
Octavius the African,860
Philagrus,861
Aesop,862
Aurelia,863
Publius Sextius,864
Trebatius Testa,865
Tullus,866
Nigidius,867
Gaius Calpurnius Piso Frugi,868
Gorgias,869
Pelops of Byzantium,870
Herodes,871
Sabinus,872
Nonnius,873
Marcius,874
Marcius,875
Quintus Marcius Rex,876
Clodia Tertia,877
Clodia Quadrantia,878
Metellus Nepos,879
Marcus Gellius,880
Vibius,881
Roscius,882
Publius Consta,883
Caecilius,884
Umbrenus,885
Xenocles,886
Dionysius,887
Menippus,888
Apollonius,889
Voconius,890
Marcus Appius,891
Marcus Aquinius,892
Gaius Sulpicius,893
Titius of Croton,894
Lucius Torquatus,895
Livia,896
Lucius Saufeius,897
Volumnius,898
Catullus,899
Lucius Julius Calidus,900
Fabius Maximus,901
Tamphilus,902
Anicia,903
Servius,904
Lucius Cornelius Balbus,905
Quintus Gellius Canus,906
Lucius Julius Mocilla,907
Aulus Torquatus,908
Lucius Aurelius Cotta,909
Quintus Caecilius,910
Aeschylus,911
Alexander,912
Philip,913
Flora,914
Zosime,915
Antistia,916
Timagenes,917
Theophanes,918
Scythes,919
Sthenis,920
Stratonice,921
Demetrius,922
Lucius Terentius,923
Themistocles,924
Vibullius,925
Lentulus Marcellinus,926
Hermagoras,927
Gaius Oppius,928
Quintus Valerius,929
Caninius Gallus,930
Rutilius,931
