Source,Target,Weight
Gaius Calvisius,Agrippa,2
Marcus Messala Corvinus,Agrippa,2
Sulla,Gaius Marius,17
Marius,Gaius Marius,11
Carbo,Gaius Marius,8
Pompey,Gaius Marius,4
Rutilius,Gaius Marius,3
Cinna,Gaius Marius,3
Caesar,Gaius Marius,3
Sertorius,Gaius Marius,2
Metellus Pius,Gaius Marius,2
Norbanus,Gaius Marius,2
Caesar,Curio,23
Pompey,Curio,13
Antony,Curio,12
Cato,Curio,6
Gaius Claudius Marcellus Minor,Curio,3
Varus,Curio,3
Juba,Curio,2
Spartacus,Curio,2
Cethegus,Lentulus Sura,18
Catiline,Lentulus Sura,14
Cicero,Lentulus Sura,10
Sulla,Lentulus Sura,3
Gaius Manlius,Lentulus Sura,2
Antony,Lentulus Sura,2
Sulla,Archelaus,27
Mithridates,Archelaus,12
Sertorius,Perpenna,26
Sulla,Perpenna,4
Aemilius Lepidus,Perpenna,3
Rutilius,Perpenna,2
Antony,Fulvia,31
Augustus,Fulvia,9
Lucius Antonius,Fulvia,6
Cleopatra,Fulvia,5
Publius Ventidius Bassus,Fulvia,2
Asinius Pollio,Fulvia,2
Agrippa,Fulvia,2
Caesar,Fulvia,2
Tiberius Gracchus,Scipio Aemilianus,11
Gaius Gracchus,Scipio Aemilianus,7
Cornelia Gracchi,Scipio Aemilianus,4
Fulvius Flaccus,Scipio Aemilianus,3
Carbo,Scipio Aemilianus,2
Marius,Scipio Aemilianus,2
Metellus Scipio,Juba,20
Caesar,Juba,16
Cato,Juba,14
Varus,Juba,8
Pompey,Juba,6
Petreius,Juba,3
Curio,Juba,2
Gnaeus Pompey,Juba,2
Marius,Jugurtha,19
Sulla,Jugurtha,15
Bocchus,Jugurtha,11
Metellus Numidicus,Jugurtha,6
Metellus Pius,Jugurtha,2
Tiberius Gracchus,Fulvius Flaccus,4
Lucius Opimius,Fulvius Flaccus,4
Scipio Aemilianus,Fulvius Flaccus,3
Carbo,Fulvius Flaccus,2
Crassus,Spartacus,8
Pompey,Spartacus,4
Curio,Spartacus,2
Antony,Domitius Ahenobarbus,22
Sextus Pompey,Domitius Ahenobarbus,12
Murcus,Domitius Ahenobarbus,11
Augustus,Domitius Ahenobarbus,9
Asinius Pollio,Domitius Ahenobarbus,3
Munatius Plancus,Domitius Ahenobarbus,3
Cleopatra,Domitius Ahenobarbus,3
Brutus,Domitius Ahenobarbus,2
Publius Ventidius Bassus,Domitius Ahenobarbus,2
Caesar,Domitius Ahenobarbus,2
Augustus,Menodorus,19
Sextus Pompey,Menodorus,17
Menecrates,Menodorus,9
Gaius Calvisius,Menodorus,4
Antony,Menodorus,3
Agrippa,Menodorus,3
Murcus,Menodorus,2
Augustus,Octavia,24
Antony,Octavia,20
Cleopatra,Octavia,11
Agrippa,Octavia,3
Gaius Claudius Marcellus Minor,Octavia,2
Antony,Asinius Pollio,13
Publius Ventidius Bassus,Asinius Pollio,13
Munatius Plancus,Asinius Pollio,11
Augustus,Asinius Pollio,8
Caesar,Asinius Pollio,6
Decimus Brutus,Asinius Pollio,5
Lucius Antonius,Asinius Pollio,5
Cato,Asinius Pollio,4
Lepidus,Asinius Pollio,4
Agrippa,Asinius Pollio,4
Salvidienus,Asinius Pollio,3
Domitius Ahenobarbus,Asinius Pollio,3
Fulvia,Asinius Pollio,2
Dolabella,Asinius Pollio,2
Pompey,Lucius Domitius Ahenobarbus,17
Caesar,Lucius Domitius Ahenobarbus,12
Cato,Lucius Domitius Ahenobarbus,9
Metellus Scipio,Lucius Domitius Ahenobarbus,4
Crassus,Lucius Domitius Ahenobarbus,2
Antony,Publius Ventidius Bassus,22
Asinius Pollio,Publius Ventidius Bassus,13
Augustus,Publius Ventidius Bassus,9
Lucius Antonius,Publius Ventidius Bassus,7
Munatius Plancus,Publius Ventidius Bassus,6
Agrippa,Publius Ventidius Bassus,6
Salvidienus,Publius Ventidius Bassus,5
Lepidus,Publius Ventidius Bassus,3
Fulvia,Publius Ventidius Bassus,2
Domitius Ahenobarbus,Publius Ventidius Bassus,2
Marius,Sulpicius,24
Sulla,Sulpicius,8
Cinna,Sulpicius,2
Saturninus,Sulpicius,2
Atticus,Sulpicius,2
Titus Sextius,Cornificius,12
Cassius,Cornificius,5
Augustus,Cornificius,5
Brutus,Cornificius,3
Agrippa,Cornificius,3
Sextus Pompey,Cornificius,2
Cato,Quintus Catulus Capitolinus,10
Aemilius Lepidus,Quintus Catulus Capitolinus,7
Sulla,Quintus Catulus Capitolinus,4
Caesar,Quintus Catulus Capitolinus,4
Crassus,Quintus Catulus Capitolinus,4
Cicero,Quintus Catulus Capitolinus,4
Catiline,Quintus Catulus Capitolinus,3
Cinna,Quintus Catulus Capitolinus,2
Metellus Pius,Quintus Catulus Capitolinus,2
Brutus,Atticus,7
Cicero,Atticus,6
Antony,Atticus,5
Quintus Cicero,Atticus,3
Augustus,Atticus,2
Sulpicius,Atticus,2
Tiberius Gracchus,Marcus Octavius,24
Caesar,Bibulus,16
Cato,Bibulus,12
Pompey,Bibulus,11
Cicero,Bibulus,3
Crassus,Bibulus,2
Lucullus,Bibulus,2
Marius,Quintus Lutatius Catulus,15
Sulla,Quintus Lutatius Catulus,2
Asinius Pollio,Munatius Plancus,11
Augustus,Munatius Plancus,7
Publius Ventidius Bassus,Munatius Plancus,6
Lepidus,Munatius Plancus,5
Decimus Brutus,Munatius Plancus,5
Lucius Antonius,Munatius Plancus,4
Agrippa,Munatius Plancus,3
Domitius Ahenobarbus,Munatius Plancus,3
